CCD,NE_2019,NE_2020,NE_2021,NE_2022,ED_NA_2019,ED_NA_2020,ED_NA_2021,ED_NA_2022,Area_m2,NE_area,NA_area,CN,Car
Ansan City,66438,71620,76366,81511,332,317,377,382,156409741,0.000484183399,2.4423E-6,g,0.5
Anseong City,30729,32844,34629,36284,121,137,154,163,553465427,0.0000616,2.94508E-7,g,0.6
Anyang City,71643,75581,79282,84390,189,184,154,164,58484033,0.00132367752,2.80418E-6,g,0.4
Bucheon City,104089,111952,118668,125752,423,379,482,538,53453521,0.00218788207,1.00648E-5,g,0.4
Bupyeong-gu,69549,73424,76493,81584,146,153,185,179,32004527,0.00233176388,5.59296E-6,s,0.5
Dobong-gu,58664,62009,64114,66942,118,123,93,108,20651005,0.00301748026,5.22977E-6,s,0.3
Dongdaemun-gu,59170,61612,62009,64255,288,250,266,308,14215807,0.00421819176,2.1666E-5,s,0.3
Dongducheon City,18344,19397,19926,20464,71,58,67,65,95667273,0.000210134557,6.79438E-7,g,0.4
Dong-gu,13751,14453,14670,14703,20,21,13,24,7197170,0.00198522475,3.33464E-6,i,0.4
Dongjak-gu,61994,64928,66320,67872,214,187,193,210,16355018,0.00389586853,1.28401E-5,s,0.3
Eunpyeong-gu,80567,85010,87038,89422,230,166,153,169,29710521,0.00282610325,5.68822E-6,s,0.3
Gangbuk-gu,60474,63313,64218,66170,193,173,189,196,23600442,0.00264024716,8.30493E-6,s,0.3
Gangdong-gu,63341,69903,73943,78191,201,201,158,239,24590492,0.00292853026,9.7192E-6,s,0.3
Ganghwa-gun,21902,22824,23751,24763,46,47,53,44,411420333,0.0000548,1.06947E-7,i,0.8
Gangnam-gu,70896,74959,78078,81564,457,510,541,586,39497509,0.00187444732,1.48364E-5,s,0.4
Gangseo-gu,83839,88733,92336,96880,244,210,217,254,41452201,0.00215479511,6.12754E-6,s,0.4
Gapyeong-gun,15423,16324,17035,17841,78,60,86,91,843581890,0.0000187,1.07873E-7,g,0.5
Geumcheon-gu,37196,39314,40442,42226,125,112,113,141,13020482,0.00302208474,1.08291E-5,s,0.4
Gimpo City,52278,58124,62780,66858,209,212,222,313,276601533,0.000217522294,1.13159E-6,g,0.5
Goyang City,135272,145710,154134,163080,469,451,465,568,268112180,0.000564912791,2.11852E-6,g,0.4
Gunpo City,33726,36416,38296,40752,71,93,78,92,36416593,0.00103966343,2.52632E-6,g,0.4
Guri City,25159,26962,27820,29173,101,100,104,115,33332883,0.000818411057,3.45005E-6,g,0.4
Guro-gu,64932,69201,71445,74491,217,193,189,231,20119105,0.00347266939,1.14816E-5,s,0.4
Gwacheon City,8084,8994,10358,11140,32,20,24,38,35870116,0.000261889312,1.05938E-6,g,0.4
Gwanak-gu,74787,78430,79371,81848,208,231,229,215,29568314,0.00261066627,7.2713E-6,s,0.2
Gwangjin-gu,47681,50311,51450,53737,146,117,153,127,17062996,0.00289351296,7.44301E-6,s,0.3
Gwangju City,46344,51079,55328,59448,208,241,343,369,430988594,0.000124495174,8.56171E-7,g,0.5
Gwangmyeong City,41397,41683,43045,45128,136,138,126,176,38529060,0.00108902216,4.56798E-6,g,0.4
Gyeyang-gu,35043,37947,40840,43724,114,88,94,83,45567500,0.000884819224,1.82147E-6,i,1
Hanam City,33597,37573,41540,44618,140,133,193,193,92987874,0.000431335811,2.07554E-6,s,0.4
Hwaseong City,69434,76180,82470,89334,299,313,293,382,699411819,0.000113290908,5.46173E-7,g,0.5
Icheon City,29245,31134,33034,34750,123,160,156,177,461470646,0.0000695,3.83556E-7,g,0.6
i-Jung-gu,19076,20531,21735,23366,73,57,55,62,140365962,0.00014844767,4.41703E-7,i,0.6
Jongno-gu,27318,28311,27609,27704,190,145,142,199,23912940,0.00106227005,8.32185E-6,s,0.3
Jungrang-gu,65065,69341,71560,74790,234,219,195,263,18495584,0.00373981162,1.42196E-5,s,0.3
Mapo-gu,52104,54002,54231,55533,198,183,147,152,23850082,0.00216431122,6.37314E-6,s,0.3
Michuhol-gu,65642,69074,72320,75765,142,141,158,196,24834989,0.00286064149,7.89209E-6,i,0.4
Namdong-gu,66423,71468,75633,80000,240,200,166,208,57449152,0.00130778258,3.62059E-6,i,0.6
Namyangju City,93007,100537,108285,115165,307,299,292,348,458144217,0.00023224783,7.59586E-7,g,0.4
Nowon-gu,80854,85420,88271,91946,287,227,246,252,35439209,0.00241176376,7.11077E-6,s,0.3
Ongjin-gun,5125,5485,5765,6100,6,10,8,6,172943948,0.0000306,3.46933E-8,g,0.6
Osan City,20257,22060,23589,25237,97,112,100,128,42706072,0.000555963096,2.99723E-6,g,0.5
