CCD,NE,ED_NA_2019,ED_NA_2020,ED_NA_2021,ED_NA_2022,area_m2,NE_area,car,NA_area,CN
Bucheon City,116950,423,379,482,538,53453521,0.00218788207,0.4,1.01E-05,g
Anyang City,77414,189,184,154,164,58484033,0.00132367752,0.4,2.80E-06,g
Suwon City,136523,498,470,569,561,121089714,0.00112745332,0.5,4.63E-06,g
Gwangmyeong City,41959,136,138,126,176,38529060,0.00108902216,0.4,4.57E-06,g
Gunpo City,37861,71,93,78,92,36416593,0.00103966343,0.4,2.53E-06,g
Seongnam City,134023,498,417,440,566,141625381,0.00094632049,0.4,4.00E-06,g
Uijeongbu City,72654,187,194,205,268,81547880,0.000890936711,0.4,3.29E-06,g
Guri City,27280,101,100,104,115,33332883,0.000818411057,0.4,3.45E-06,g
Goyang City,151460,469,451,465,568,268112180,0.000564912791,0.4,2.12E-06,g
Osan City,23743,97,112,100,128,42706072,0.000555963096,0.5,3.00E-06,g
Ansan City,75731,332,317,377,382,156409741,0.000484183399,0.5,2.44E-06,g
Hanam City,40109,140,133,193,193,92987874,0.000431335811,0.4,2.08E-06,g
Uiwang City,23250,55,43,61,44,54034758,0.0004302786,0.4,8.14E-07,g
Siheung City,50229,221,226,215,291,139683555,0.000359591363,0.5,2.08E-06,g
Gwacheon City,9394,32,20,24,38,35870116,0.000261889312,0.4,1.06E-06,g
Yongin City,148924,411,372,508,548,591235780,0.000251885973,0.5,9.27E-07,g
Namyangju City,106403,307,299,292,348,458144217,0.00023224783,0.4,7.60E-07,g
Gimpo City,60167,209,212,222,313,276601533,0.000217522294,0.5,1.13E-06,g
Dongducheon City,20103,71,58,67,65,95667273,0.000210134557,0.4,6.79E-07,g
Pyeongtaek City,66813,358,355,337,380,458255095,0.000145798706,0.6,8.29E-07,g
Yangju City,39941,169,142,148,198,310469903,0.00012864693,0.5,6.38E-07,g
Gwangju City,53656,208,241,343,369,430988594,0.000124495174,0.5,8.56E-07,g
Hwaseong City,79237,299,313,293,382,699411819,0.000113290908,0.5,5.46E-07,g
Paju City,67162,211,210,248,272,673880299,9.97E-05,0.5,4.04E-07,g
Icheon City,32094,123,160,156,177,461470646,6.95E-05,0.6,3.84E-07,g
Anseong City,34112,121,137,154,163,553465427,6.16E-05,0.6,2.95E-07,g
Yeoju City,25070,102,92,91,129,608284421,4.12E-05,0.6,2.12E-07,g
Pocheon City,29836,153,158,158,179,826986438,3.61E-05,0.7,2.16E-07,g
Yangpyeong-gun,30707,129,126,136,137,877789698,3.50E-05,0.5,1.56E-07,g
Ongjin-gun,5298,6,10,8,6,172943948,3.06E-05,0.6,3.47E-08,g
Gapyeong-gun,15807,78,60,86,91,843581890,1.87E-05,0.5,1.08E-07,g
Yeoncheon-gun,11271,47,45,51,63,676215175,1.67E-05,0.7,9.32E-08,g
